"database","table","rowCount","status"
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","EnrollmentExpense",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'EnrollmentExpense'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","EnrollmentPayment",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'EnrollmentPayment'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Equipment",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Equipment'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Expenses",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Expenses'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","FinalEnrollment Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'FinalEnrollment Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Financing Programs Table",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Financing Programs Table'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","General CSN Information",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'General CSN Information'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Graduates",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Graduates'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","Instructors",,"count_error: Exception calling ""ExecuteScalar"" with ""0"" argument(s): ""ERROR [42000] [Microsoft][ODBC Microsoft Access Driver] Record(s) cannot be read; no read permission on 'Instructors'."""
"C:\Users\mabro\Downloads\historical-student-data\AAUL Student Database-2022.mdb","InstructorSession","58","ok"
